"parameter","true_beta","mean_beta","abs_bias","rel_bias","bias","emp_sd","true_se","mean_se","emp_sd_se","se_bias","abs_se_bias","coverage","rel_se_bias","rmse_beta","rmse_se"
"(Intercept):1",1.13803132833365,1.13955221635787,0.00152088802422368,0.0013364201725893,0.00152088802422368,0.0396408028276361,0.244340513296894,0.243820327792899,0.00240491204888172,-0.000520185503994741,0.000520185503994741,1,0.00212893677342273,0.0396303363940316,0.0024581756888996
"(Intercept):2",1.99943269672895,2.00245261432482,0.00301991759587206,0.00151038722174175,0.00301991759587206,0.041163048757358,0.256180233532656,0.255725289370504,0.00247777276848021,-0.000454944162151416,0.000454944162151416,1,0.00177587535102869,0.0412326047215124,0.00251675453056378
"childrenyes",-0.634610479982606,-0.637111162846853,0.00250068286424721,0.0039405004221105,-0.00250068286424721,0.0422707892002444,0.250412848092966,0.249833891499163,0.00223781599944249,-0.00057895659380347,0.00057895659380347,1,0.00231200834227376,0.0423024750476826,0.00230932794205903
"religiousness.L",0.998099609232492,1.0010321607915,0.00293255155901295,0.00293813516395222,0.00293255155901295,0.0518366658374471,0.28674415630271,0.287007715617268,0.0026658990159729,0.000263559314558071,0.000263559314558071,1,0.000919144501343688,0.0518677713415483,0.00267624121493727
"religiousness.Q",-0.24155297419975,-0.238807736251071,0.00274523794867826,0.0113649519645662,0.00274523794867826,0.0433196569515117,0.261707234929522,0.261944058609785,0.00198600595170384,0.00023682368026301,0.00023682368026301,1,0.000904918354002657,0.043363300432909,0.00199810326471281
"religiousness.C",0.0983325992281782,0.097890816195889,0.0004417830322892,0.00449274234340185,-0.0004417830322892,0.034821979029646,0.218764205769331,0.218796508861843,0.00104363652978419,3.23030925115098e-05,3.23030925115098e-05,1,0.000147661690804988,0.034789944744734,0.00104309268124803
"religiousness^4",-0.580186006308176,-0.579293519103631,0.000892487204545267,0.00153827771583861,0.000892487204545267,0.0324066316432293,0.195204674639945,0.19526060967884,0.000749181854668606,5.5935038894922e-05,5.5935038894922e-05,1,0.000286545591175489,0.032386508430538,0.000750519575386373
"rating.L",1.44370148773569,1.44506256033555,0.0013610725998614,0.00094276594671667,0.0013610725998614,0.0571909791699286,0.341694809874386,0.34156251643558,0.00400437592151424,-0.000132293438806275,0.000132293438806275,1,0.000387168417497791,0.0571499693861726,0.00400255643579358
"rating.Q",0.168821807592129,0.166763409829276,0.00205839776285305,0.0121927243417871,-0.00205839776285305,0.054428314490577,0.312199265465304,0.312150631239808,0.00310445923557166,-4.86342254964467e-05,4.86342254964467e-05,1,0.00015577943600848,0.0544128067351677,0.00310173453069813
"rating.C",-0.223558771032114,-0.222252581093754,0.00130618993835993,0.00584271389724315,0.00130618993835993,0.0441971901734268,0.244915092622154,0.244998299293161,0.00150786410842262,8.32066710076129e-05,8.32066710076129e-05,1,0.000339736804770873,0.0441722873320216,0.00150865178594346
"rating^4",0.293469448576037,0.295023168072982,0.00155371949694472,0.00529431429569117,0.00155371949694472,0.0380012538416661,0.22490079308986,0.224943031364204,0.00112407412833693,4.22382743447136e-05,4.22382743447136e-05,1,0.000187808472190835,0.0379950147680831,0.00112374357952518
