"parameter","true_beta","mean_beta","abs_bias","rel_bias","bias","emp_sd","true_se","mean_se","emp_sd_se","se_bias","abs_se_bias","coverage","rel_se_bias","rmse_beta","rmse_se"
"(Intercept):1",1.13803132833365,1.15080062442637,0.0127692960927288,0.0112205136842991,0.0127692960927288,0.108144364013174,0.244340513296894,0.242376916303313,0.00624713428137963,-0.00196359699358015,0.00196359699358015,1,0.00803631361449346,0.108788179429486,0.0065425030767533
"(Intercept):2",1.99943269672895,2.01527705504443,0.015844358315485,0.00792442693440307,0.015844358315485,0.112651991572092,0.256180233532656,0.254473276528528,0.00650367778752194,-0.0017069570041281,0.0017069570041281,1,0.00666310972001869,0.113649170490496,0.00671765817292904
"childrenyes",-0.634610479982606,-0.650051364086652,0.0154408841040461,0.0243312781479268,-0.0154408841040461,0.117019348545802,0.250412848092966,0.248087076487688,0.00574699408443651,-0.00232577160527778,0.00232577160527778,1,0.00928774870374994,0.117917605895516,0.00619444095011419
"religiousness.L",0.998099609232492,1.00920624007736,0.0111066308448696,0.0111277779713893,0.0111066308448696,0.125228840048469,0.28674415630271,0.287606155850129,0.00658510682750808,0.000861999547419445,0.000861999547419445,1,0.00300616256154651,0.125595601451044,0.00663475303877887
"religiousness.Q",-0.24155297419975,-0.230326231570846,0.0112267426289037,0.0464773520843503,0.0112267426289037,0.110230508162634,0.261707234929522,0.262490234899833,0.00494081590879005,0.000782999970310894,0.000782999970310894,1,0.00299189271753132,0.110691025607266,0.00499759216767141
"religiousness.C",0.0983325992281782,0.0984388977682763,0.000106298540098068,0.00108101017294789,0.000106298540098068,0.0984850157603644,0.218764205769331,0.21930496006984,0.00279350122534019,0.000540754300509177,0.000540754300509177,1,0.00247185913530735,0.0983865388762111,0.00284261446758162
"religiousness^4",-0.580186006308176,-0.5831557858721,0.00296977956392408,0.00511866803341449,-0.00296977956392408,0.0818044076217213,0.195204674639945,0.195702229608962,0.00192798940886843,0.000497554969017017,0.000497554969017017,1,0.00254888859569965,0.081776505029173,0.0019892887727982
"rating.L",1.44370148773569,1.45391260494518,0.010211117209495,0.00707287295624399,0.010211117209495,0.168973542468063,0.341694809874386,0.344449674770211,0.0120393216808511,0.00275486489582505,0.00275486489582505,0.998,0.00806235510816741,0.169113041640093,0.012338746151704
"rating.Q",0.168821807592129,0.167573269425425,0.00124853816670348,0.00739559766899268,-0.00124853816670348,0.148052114342811,0.312199265465304,0.314682483354457,0.00943218820447523,0.0024832178891524,0.0024832178891524,0.998,0.00795395173480435,0.147909257829953,0.00974446576580773
"rating.C",-0.223558771032114,-0.222384751748765,0.00117401928334895,0.00525150177704416,0.00117401928334895,0.11584932146263,0.244915092622154,0.246623824698455,0.00430225132234242,0.00170873207630126,0.00170873207630126,1,0.00697683453480522,0.115739368730189,0.00462516086382914
"rating^4",0.293469448576037,0.299546302815865,0.0060768542398279,0.020706939919347,0.0060768542398279,0.0953861842431273,0.22490079308986,0.225413183609902,0.00307229143115781,0.000512390520042594,0.000512390520042594,1,0.00227829574543949,0.0954843194122837,0.00311169419026345
